,nombre,latitud,longitud,location,categoria,ciudad
22,Discoteca BAO-BAB Madrid,40.453919368184145,-3.6776626110076904,"{'type': 'Point', 'coordinates': [40.453919368184145, -3.6776626110076904]}",Disco,Madrid
23,Disco Mama Pachanga,40.39505194957783,-3.6613460602834906,"{'type': 'Point', 'coordinates': [40.39505194957783, -3.6613460602834906]}",Disco,Madrid
24,"DISCO, S.L.",40.465399,-3.802089,"{'type': 'Point', 'coordinates': [40.465399, -3.802089]}",Disco,Madrid
25,Si Disco Bar,40.40348523555184,-3.6788889381640186,"{'type': 'Point', 'coordinates': [40.40348523555184, -3.6788889381640186]}",Disco,Madrid
26,Connection Disco Club,40.41877774406084,-3.703224735333841,"{'type': 'Point', 'coordinates': [40.41877774406084, -3.703224735333841]}",Disco,Madrid
27,Cachamba Disco,40.431087613105774,-3.64970326423645,"{'type': 'Point', 'coordinates': [40.431087613105774, -3.64970326423645]}",Disco,Madrid
28,Discovery Formación,40.458481,-3.680256,"{'type': 'Point', 'coordinates': [40.458481, -3.680256]}",Disco,Madrid
29,El Final Disco,40.426136,-3.655518,"{'type': 'Point', 'coordinates': [40.426136, -3.655518]}",Disco,Madrid
0,Vegan Streets Madrid Castellana,40.4424564,-3.679973,"{'type': 'Point', 'coordinates': [40.4424564, -3.679973]}",Vegan,Madrid
1,Vegan Streets Madrid Centro,40.4175117,-3.6976358,"{'type': 'Point', 'coordinates': [40.4175117, -3.6976358]}",Vegan,Madrid
2,vegetarian / vegan restaurant,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}",Vegan,Madrid
3,Mad Mad Vegan,40.424183,-3.7007315,"{'type': 'Point', 'coordinates': [40.424183, -3.7007315]}",Vegan,Madrid
4,Los Andenes Vegan,40.435206,-3.710348,"{'type': 'Point', 'coordinates': [40.435206, -3.710348]}",Vegan,Madrid
5,Vegan bistro,40.41941020023746,-3.679066382765086,"{'type': 'Point', 'coordinates': [40.41941020023746, -3.679066382765086]}",Vegan,Madrid
6,Delish Vegan Doughnuts,40.425026,-3.701933,"{'type': 'Point', 'coordinates': [40.425026, -3.701933]}",Vegan,Madrid
7,THUNDER VEGAN FOOD,40.42445,-3.702513,"{'type': 'Point', 'coordinates': [40.42445, -3.702513]}",Vegan,Madrid
8,Mad Mad Vegan,40.411118,-3.7029,"{'type': 'Point', 'coordinates': [40.411118, -3.7029]}",Vegan,Madrid
9,Delish Vegan Doughnuts,40.42694912512703,-3.7100989203246573,"{'type': 'Point', 'coordinates': [40.42694912512703, -3.7100989203246573]}",Vegan,Madrid
10,pura vida vegan bar,40.41020847303393,-3.709029348112721,"{'type': 'Point', 'coordinates': [40.41020847303393, -3.709029348112721]}",Vegan,Madrid
